#{"t_start": 1740659830.023298, "env_id": "None"}
r,l,t
-523385.28518,840,0.51475
-475918.626241,840,1.027696
-538756.33283,840,1.555005
-447142.720893,840,2.090172
-499551.500094,840,2.627274
-493899.810748,840,3.165077
-510162.610405,840,3.687948
-414252.148255,840,4.214574
-434244.473703,840,4.749324
-489602.252508,840,5.276608
-548152.768698,840,5.817096
-469274.880099,840,6.328389
-496640.817246,840,6.850508
-579317.990614,840,7.380265
-400369.699207,840,7.877172
-454612.804691,840,8.421966
-585502.138984,840,8.931602
-444304.270631,840,9.441062
-564527.799553,840,9.945678
-447281.674709,840,10.47288
-422393.559366,840,10.984086
-461238.454214,840,11.490667
-438718.7043,840,12.032227
-464354.311378,840,12.543823
-552301.760949,840,13.062423
-711622.817594,840,13.577369
-570524.953498,840,14.128986
-433509.468606,840,14.667577
-506363.490799,840,15.190374
-567307.650943,840,15.757375
-776356.96468,840,16.275989
-1033980.737055,840,16.815981
-467545.115549,840,17.343875
-966319.031499,840,17.845181
-804693.679476,840,18.37916
-903968.510145,840,18.920685
-908152.226416,840,19.438219
-763370.021684,840,19.970226
-829745.435822,840,20.501992
-1302666.029749,840,21.03743
-937419.48983,840,21.547426
-935820.751364,840,22.062503
-1116954.138741,840,22.602059
-1109741.517364,840,23.12225
-475048.419255,840,23.657325
-941470.391406,840,24.171901
-895311.389606,840,24.723292
-1824715.6201,840,25.258295
-852793.235601,840,25.765102
-1079570.431127,840,26.277474
-569223.779179,840,26.814629
-779531.301962,840,27.343185
-1428128.407028,840,27.881042
-1225360.013955,840,28.418638
-1763699.461605,840,28.94718
-1428456.785632,840,29.481359
-1149462.9193,840,30.028122
-1411780.611417,840,30.546398
-1306188.580181,840,31.055699
-32409472.716726,840,31.653951
-32398633.270503,840,31.933298
-32148044.85904,840,32.179932
-32475151.190289,840,32.421937
-32634230.814524,840,32.663931
-32152239.114555,840,32.90478
-32693006.053584,840,33.144987
-32409529.853022,840,33.391986
-32395625.89007,840,33.647628
-32499844.160739,840,33.898553
-32966236.424942,840,34.14709
-32307153.796635,840,34.39499
-32898365.590644,840,34.641984
-32186384.29332,840,34.891159
-32042711.658543,840,35.140321
-31799997.825194,840,35.401128
-32229743.592117,840,35.658882
-32671144.148428,840,35.917379
-32351371.898233,840,36.167551
-31873775.556683,840,36.417573
-32577610.178774,840,36.677949
-32245180.446624,840,36.943918
-32689994.591264,840,37.210243
-32437938.754956,840,37.462258
-32375423.041805,840,37.709802
-32399646.263835,840,37.957126
-32478176.383034,840,38.199011
-32531559.875284,840,38.447646
-32690091.545427,840,38.693971
-32602533.124609,840,38.935246
-31910666.974131,840,39.179063
-32013120.292287,840,39.4189
-32133045.350185,840,39.659314
-32443169.112001,840,39.90088
-31992258.071885,840,40.144043
-32057403.681437,840,40.388008
-32354805.002817,840,40.631001
-32258790.217515,840,40.876355
-32150339.795318,840,41.119678
-32100472.60507,840,41.361362
-32332280.404223,840,41.599517
-32112860.277701,840,41.837215
-32373511.830526,840,42.07375
-32377329.583928,840,42.311028
-32466926.877286,840,42.549028
-32055634.194018,840,42.786435
-32507984.971682,840,43.022902
-31974807.499725,840,43.259906
-32436391.077099,840,43.51895
-32568765.641266,840,43.775945
-32337986.814021,840,44.02594
-32256153.441163,840,44.282503
-32234742.813183,840,44.537738
-32320158.767136,840,44.795738
