#{"t_start": 1740660108.039301, "env_id": "None"}
r,l,t
-13659.2675,15,0.023757
-11045.935,15,0.033686
-15465.4775,15,0.043695
-13116.3675,15,0.057688
-15322.5275,15,0.071689
-15960.71,15,0.081743
-8668.1075,15,0.092826
-15540.2125,15,0.106825
-13110.915,15,0.128823
-13153.6,15,0.146217
-14209.2675,15,0.165216
-12206.165,15,0.177406
-12939.8875,15,0.192598
-10515.3575,15,0.207527
-13863.1725,15,0.22365
-12660.125,15,0.241733
-12309.795,15,0.259732
-14335.61,15,0.275992
-12726.545,15,0.295268
-10395.325,15,0.311154
-15322.72,15,0.329154
-16225.2575,15,0.350286
-12663.085,15,0.367286
-9147.1375,15,0.383286
-14363.01,15,0.403285
-14264.09,15,0.420285
-11041.835,15,0.437284
-15617.6325,15,0.456505
-14261.39,15,0.47367
-14030.7075,15,0.491807
-13481.67,15,0.509897
-13233.5,15,0.526896
-11972.3725,15,0.545111
-13644.2325,15,0.570222
-12705.5825,15,0.589349
-11904.5725,15,0.605348
-12283.0475,15,0.622347
-11179.585,15,0.641518
-11184.3525,15,0.659519
-13172.9175,15,0.680525
-13065.205,15,0.69767
-12232.85,15,0.716671
-15017.48,15,0.736675
-13921.71,15,0.750671
-13851.1,15,0.772671
-11264.27,15,0.790906
-14853.9875,15,0.809906
-11335.98,15,0.826152
-12603.76,15,0.846152
-14248.05,15,0.865296
-13998.3675,15,0.885431
-14885.465,15,0.901587
-11879.5775,15,0.917586
-13241.8625,15,0.933586
-11504.61,15,0.949799
-16363.195,15,0.963856
-16514.0125,15,0.98079
-11861.145,15,0.998936
-11528.06,15,1.015147
-11582.6075,15,1.028148
-13743.41,15,1.04335
-13793.955,15,1.062348
-17360.99,15,1.083351
-10408.1525,15,1.105348
-13838.9525,15,1.127689
-12206.8675,15,1.148788
-12871.875,15,1.172458
-13304.08,15,1.18784
-15540.3725,15,1.203839
-11557.535,15,1.22394
-13381.835,15,1.244094
-12389.3375,15,1.262095
-13004.1225,15,1.278095
-5923.9225,15,1.307793
-14528.6325,15,1.341826
-11339.455,15,1.36079
-12351.505,15,1.377791
-12865.1025,15,1.391791
-12044.1875,15,1.40679
-11826.3325,15,1.420791
-12178.0075,15,1.441921
-15903.0925,15,1.45893
-15112.175,15,1.477206
-9836.355,15,1.49428
-9719.3975,15,1.51228
-7824.075,15,1.528398
-12661.6125,15,1.5496
-13490.8775,15,1.56261
-12285.3825,15,1.578691
-12953.245,15,1.59389
-11929.8,15,1.60989
-11666.1825,15,1.62505
-9577.6475,15,1.646252
-11312.0325,15,1.670621
-10070.5375,15,1.692865
-9323.2,15,1.711976
-9660.16,15,1.73198
-9169.745,15,1.752977
-10867.3475,15,1.770977
-8651.6825,15,1.787975
-9047.6875,15,1.804976
-14466.62,15,1.824975
-6248.1275,15,1.840976
-12525.03,15,1.859975
-9418.06,15,1.882046
-10010.755,15,1.902046
-10130.275,15,1.919157
-14275.255,15,1.937157
-12250.2625,15,1.956156
-9197.595,15,1.978388
-11222.65,15,1.996389
-9387.095,15,2.012387
-7689.695,15,2.03039
-13190.08,15,2.048387
-13003.4775,15,2.0654
-6361.125,15,2.083522
-11330.055,15,2.10165
-14631.52,15,2.121192
-6677.96,15,2.142191
-10053.975,15,2.161191
-8309.3525,15,2.189317
-8269.3925,15,2.211488
-10986.4575,15,2.228627
-13971.375,15,2.242748
-9267.3825,15,2.263747
-11109.995,15,2.285154
-8895.7,15,2.307374
-9092.12,15,2.323637
-9959.1625,15,2.339741
-10700.3475,15,2.356855
-8269.6175,15,2.37707
-9407.35,15,2.393359
-12152.41,15,2.414801
-13571.235,15,2.435955
-10839.4475,15,2.45417
-11822.4725,15,2.46917
-11158.92,15,2.485479
-7484.3975,15,2.502765
-11040.3975,15,2.525898
-11437.3775,15,2.543888
-10936.43,15,2.564889
-7817.1425,15,2.587887
-6800.8325,15,2.603887
-9040.0975,15,2.624001
-9545.945,15,2.646158
-9727.6375,15,2.66537
-9468.8625,15,2.681382
-8060.08,15,2.696384
-8330.725,15,2.714371
-14846.8375,15,2.73537
-9676.065,15,2.768817
-10597.2575,15,2.793553
-8742.115,15,2.817553
-10414.985,15,2.838554
-11818.155,15,2.859647
-13348.175,15,2.875647
-9859.905,15,2.894648
-12860.85,15,2.915768
-12221.51,15,2.935902
-9409.51,15,2.956003
-6832.6975,15,2.975138
-6084.32,15,2.992267
-9586.62,15,3.009255
-10371.3725,15,3.027257
-9164.3725,15,3.045257
-7938.8675,15,3.068255
-8672.185,15,3.08614
-14298.2875,15,3.105142
-6780.4525,15,3.122307
-8412.065,15,3.139307
-14902.9125,15,3.156308
-10013.5625,15,3.175464
-8478.9675,15,3.192584
-7408.885,15,3.210721
-7303.7125,15,3.232721
-10006.1875,15,3.247722
-10267.835,15,3.266722
-8800.8375,15,3.290848
-8963.735,15,3.31202
-9967.7075,15,3.329391
-5978.5975,15,3.350737
-7313.8875,15,3.368739
-7407.4975,15,3.391246
-12980.5825,15,3.409372
-10002.385,15,3.425467
-9859.01,15,3.444565
-8717.0225,15,3.46492
-10611.5225,15,3.480003
-9216.635,15,3.502379
-8661.385,15,3.522383
-7284.0475,15,3.543381
-8254.1725,15,3.562623
-6116.275,15,3.583909
-8367.6475,15,3.606166
-8551.9225,15,3.626357
-9000.075,15,3.645355
-8410.6275,15,3.662639
-6357.59,15,3.680932
-8501.0175,15,3.703072
-7602.4025,15,3.725231
-8811.635,15,3.750538
-11386.67,15,3.767973
-6668.3425,15,3.788416
-11654.035,15,3.804688
-6252.225,15,3.826496
-9612.2925,15,3.857798
-13686.67,15,3.888967
-12464.685,15,3.909959
-7328.755,15,3.934961
-5550.2025,15,3.958095
-9434.7225,15,3.979392
-10246.41,15,3.998392
-9437.3325,15,4.017395
-11674.0625,15,4.041395
-7619.3625,15,4.062395
-10543.125,15,4.082394
-8885.5825,15,4.103405
-12879.89,15,4.123394
-8475.485,15,4.148394
-9385.475,15,4.163543
