#{"t_start": 1740660101.043639, "env_id": "None"}
r,l,t
-4100.6625,15,0.008262
-4100.6625,15,0.015258
-3413.9625,15,0.022193
-4100.6625,15,0.029478
-4100.6625,15,0.036478
-4100.6625,15,0.043478
-4100.6625,15,0.049774
-3413.9625,15,0.056983
-4100.6625,15,0.063982
-3170.0625,15,0.071264
-3413.9625,15,0.078536
-3413.9625,15,0.084542
-4100.6625,15,0.091542
-3413.9625,15,0.098834
-4100.6625,15,0.106099
-4100.6625,15,0.113109
-3413.9625,15,0.119289
-4690.2475,15,0.126576
-3413.9625,15,0.133585
-4100.6625,15,0.140584
-4100.6625,15,0.146824
-3413.9625,15,0.153584
-4100.6625,15,0.160584
-4100.6625,15,0.167585
-4690.2475,15,0.174584
-4787.3625,15,0.180584
-4100.6625,15,0.187584
-3413.9625,15,0.194583
-4100.6625,15,0.201889
-5376.9475,15,0.208158
-4100.6625,15,0.215158
-4100.6625,15,0.221436
-4690.2475,15,0.228707
-4100.6625,15,0.235705
-3413.9625,15,0.241963
-3413.9625,15,0.248963
-4612.8475,15,0.255963
-4690.2475,15,0.262208
-3170.0625,15,0.269207
-5376.9475,15,0.276198
-4100.6625,15,0.282473
-4100.6625,15,0.289473
-3413.9625,15,0.296692
-4100.6625,15,0.303474
-4100.6625,15,0.309747
-3413.9625,15,0.317051
-4100.6625,15,0.32405
-3413.9625,15,0.330331
-3413.9625,15,0.337331
-3413.9625,15,0.344324
-4100.6625,15,0.351332
-5299.5475,15,0.357627
-3413.9625,15,0.364331
-5966.5325,15,0.371331
-3413.9625,15,0.378334
-4100.6625,15,0.385331
-3413.9625,15,0.391331
-4100.6625,15,0.398331
-4100.6625,15,0.405331
-3413.9625,15,0.412332
-3413.9625,15,0.419333
-3413.9625,15,0.426331
-4100.6625,15,0.433331
-5299.5475,15,0.439331
-4100.6625,15,0.446331
-5966.5325,15,0.453331
-3413.9625,15,0.460622
-4787.3625,15,0.466892
-5376.9475,15,0.473899
-3413.9625,15,0.481168
-4612.8475,15,0.487168
-3413.9625,15,0.494161
-3413.9625,15,0.501411
-4690.2475,15,0.507746
-3413.9625,15,0.514728
-3413.9625,15,0.521952
-5966.5325,15,0.529227
-4100.6625,15,0.535226
-3413.9625,15,0.542227
-3413.9625,15,0.549412
-5474.0625,15,0.556579
-3413.9625,15,0.563587
-5474.0625,15,0.569839
-4100.6625,15,0.577106
-4100.6625,15,0.584114
-3413.9625,15,0.591113
-4787.3625,15,0.598366
-4100.6625,15,0.604366
-3413.9625,15,0.611574
-4100.6625,15,0.618793
-4787.3625,15,0.625899
-3413.9625,15,0.632077
-3413.9625,15,0.639091
-4612.8475,15,0.648071
-6653.2325,15,0.658465
-4100.6625,15,0.66955
-4100.6625,15,0.676852
-3413.9625,15,0.683912
-4100.6625,15,0.690922
-6063.6475,15,0.697316
-4100.6625,15,0.704317
-3413.9625,15,0.711556
-5376.9475,15,0.717757
-4100.6625,15,0.724756
-4690.2475,15,0.731947
-5376.9475,15,0.739181
-6063.6475,15,0.746228
-3413.9625,15,0.752392
-4100.6625,15,0.759663
-4100.6625,15,0.766768
-4100.6625,15,0.772947
-5474.0625,15,0.779947
-3413.9625,15,0.786947
-4787.3625,15,0.793941
-4100.6625,15,0.800947
-3413.9625,15,0.807213
-4100.6625,15,0.814221
-3413.9625,15,0.821221
-3413.9625,15,0.828223
-3170.0625,15,0.835214
-4612.8475,15,0.842213
-5299.5475,15,0.84953
-4100.6625,15,0.856762
-4100.6625,15,0.86354
-5376.9475,15,0.870536
-3413.9625,15,0.877536
-4100.6625,15,0.88453
-4690.2475,15,0.891475
-4100.6625,15,0.898476
-4100.6625,15,0.905475
-4100.6625,15,0.911745
-4100.6625,15,0.919002
-3413.9625,15,0.926219
-3413.9625,15,0.933226
-3413.9625,15,0.940226
-3170.0625,15,0.947487
-4100.6625,15,0.954486
-4100.6625,15,0.961735
-4690.2475,15,0.968736
-4100.6625,15,0.975734
-3413.9625,15,0.982734
-4100.6625,15,0.990734
-5376.9475,15,0.997736
-4787.3625,15,1.004734
-3413.9625,15,1.012015
-3413.9625,15,1.019016
-3413.9625,15,1.026016
-5299.5475,15,1.034015
-3413.9625,15,1.041015
-4690.2475,15,1.048017
-3413.9625,15,1.055015
-3413.9625,15,1.062275
-4100.6625,15,1.069282
-6575.8325,15,1.076275
-4100.6625,15,1.083282
-4100.6625,15,1.090283
-4100.6625,15,1.097404
-5299.5475,15,1.104411
-4100.6625,15,1.111411
-4100.6625,15,1.118623
-4100.6625,15,1.125621
-3413.9625,15,1.132621
-3413.9625,15,1.138622
-4100.6625,15,1.145889
-4690.2475,15,1.152896
-3413.9625,15,1.159171
-4100.6625,15,1.166457
-4612.8475,15,1.173464
-5889.1325,15,1.179465
-3413.9625,15,1.186467
-4100.6625,15,1.193464
-3413.9625,15,1.200464
-3413.9625,15,1.207755
-4100.6625,15,1.213755
-4787.3625,15,1.221039
-4690.2475,15,1.228039
-4787.3625,15,1.235039
-4100.6625,15,1.241325
-3413.9625,15,1.248587
-3413.9625,15,1.254586
-4100.6625,15,1.261899
-4100.6625,15,1.269183
-4690.2475,15,1.275179
-3413.9625,15,1.282179
-4100.6625,15,1.289179
-3413.9625,15,1.296283
-3413.9625,15,1.302466
-3413.9625,15,1.309773
-5811.7325,15,1.316052
-3413.9625,15,1.32306
-4690.2475,15,1.33006
-4690.2475,15,1.33606
-4690.2475,15,1.343064
-3413.9625,15,1.350353
-4100.6625,15,1.356602
-4100.6625,15,1.36361
-5299.5475,15,1.370909
-5299.5475,15,1.37691
-3170.0625,15,1.38391
-4787.3625,15,1.39091
-4100.6625,15,1.39721
-3413.9625,15,1.404218
-3413.9625,15,1.411508
-3413.9625,15,1.417823
-3413.9625,15,1.424822
-4690.2475,15,1.431822
-3413.9625,15,1.438822
-5474.0625,15,1.444821
-3413.9625,15,1.452106
-4100.6625,15,1.45939
-4100.6625,15,1.465884
-4787.3625,15,1.472671
-4100.6625,15,1.479674
-3413.9625,15,1.486671
-4100.6625,15,1.492676
-4100.6625,15,1.499948
-4100.6625,15,1.506948
-5889.1325,15,1.513948
-3413.9625,15,1.520226
-3413.9625,15,1.527226
-4100.6625,15,1.534225
-5966.5325,15,1.541226
-3413.9625,15,1.548226
-3413.9625,15,1.554225
-4787.3625,15,1.561496
-4100.6625,15,1.568497
